row_beats_col,incantations,noble_test,wrathseek-sac,ritual_reanimator,topheavy_annihilator,occultation,annihilation,emanation,scions,temples,bird_test,void_temples,revive
incantations,0.5035,0.4075,0.3820,0.6048,0.5870,0.6888,0.5845,0.4855,0.4237,0.4635,0.4568,0.3182,0.4140
noble_test,0.5884,0.5037,0.5372,0.6779,0.6261,0.7375,0.6949,0.5486,0.5008,0.5274,0.5246,0.3740,0.4327
wrathseek-sac,0.6128,0.4679,0.4876,0.6928,0.6937,0.7601,0.7084,0.4970,0.5537,0.4924,0.4676,0.3744,0.3795
ritual_reanimator,0.3855,0.3216,0.3022,0.5026,0.5947,0.5781,0.6025,0.3538,0.3730,0.3543,0.3277,0.3071,0.2898
topheavy_annihilator,0.4128,0.3832,0.3124,0.4035,0.4988,0.4631,0.6185,0.4160,0.4794,0.4196,0.4296,0.3474,0.3478
occultation,0.3042,0.2689,0.2448,0.4258,0.5390,0.5057,0.5582,0.2862,0.3490,0.2750,0.2720,0.2607,0.2341
annihilation,0.4120,0.3001,0.2870,0.3995,0.3769,0.4526,0.4993,0.3715,0.4289,0.3669,0.3707,0.2276,0.2913
emanation,0.5058,0.4628,0.4999,0.6363,0.5812,0.7077,0.6269,0.5154,0.4351,0.4883,0.4833,0.3816,0.4059
scions,0.5821,0.4928,0.4518,0.6212,0.5188,0.6541,0.5756,0.5654,0.4977,0.5441,0.5339,0.3802,0.4846
temples,0.5224,0.4614,0.5064,0.6502,0.5799,0.7182,0.6354,0.5096,0.4489,0.5065,0.5071,0.3738,0.4021
bird_test,0.5425,0.4690,0.5298,0.6709,0.5785,0.7192,0.6381,0.5148,0.4577,0.5045,0.5024,0.4414,0.4222
void_temples,0.6870,0.6315,0.6271,0.6989,0.6531,0.7418,0.7671,0.6150,0.6198,0.6246,0.5601,0.5008,0.5387
revive,0.5955,0.5636,0.6210,0.7237,0.6552,0.7656,0.6996,0.5899,0.5076,0.6050,0.5840,0.4558,0.5101
